group,treatment,DAI0,DAI1,DAI2,DAI3,DAI4,DAI5,DAI6,DAI7,DAI8,DAI9,DAI10
T1,LiCl 2 min,0,0,0,0,0,12,1,1,0,0,0
T10,LiCl 2 min,0,0,0,0,0,5,1,2,0,0,0
T11,LiCl 2 min,0,0,0,0,1,18,1,0,0,0,0
T12,LiCl 2 min,0,0,0,0,1,9,0,0,1,1,0
T2,LiCl 2 min,0,0,0,0,0,10,0,1,0,0,0
T3,LiCl 2 min,0,0,0,0,0,7,1,0,0,0,0
T4,LiCl 2 min,0,0,0,0,0,7,8,2,0,0,0
T5,LiCl 2 min,0,0,0,0,0,8,0,0,0,0,0
T6,LiCl 2 min,0,0,0,0,0,2,4,6,1,0,2
T7,LiCl 2 min,0,0,3,0,0,8,3,0,0,0,0
T8,LiCl 2 min,0,0,0,0,0,14,1,0,0,0,0
T9,LiCl 2 min,0,0,0,0,0,2,2,1,1,0,1
W1,LiCl 2 min,0,0,0,0,0,10,0,2,1,0,0
W10,LiCl 2 min,0,0,0,1,4,2,1,0,0,0,0
W11,LiCl 2 min,0,0,0,0,0,3,2,4,4,0,0
W12,LiCl 2 min,0,0,0,0,0,0,12,0,1,1,0
W2,LiCl 2 min,0,0,0,0,0,8,2,1,0,0,0
W3,LiCl 2 min,0,1,0,0,13,0,0,0,0,0,0
W4,LiCl 2 min,0,0,0,0,0,25,1,1,1,0,0
W5,LiCl 2 min,0,0,0,0,0,7,2,0,1,0,0
W6,LiCl 2 min,0,0,0,0,1,7,13,0,0,0,0
W7,LiCl 2 min,0,0,0,0,0,13,1,0,0,0,0
W8,LiCl 2 min,0,0,0,0,0,17,0,1,1,0,0
W9,LiCl 2 min,0,0,0,0,0,24,0,5,0,0,0
T1,LiCl 4 min,0,0,0,0,0,0,0,5,10,5,0
T10,LiCl 4 min,0,0,0,0,0,1,3,1,0,0,0
T11,LiCl 4 min,0,0,0,0,0,6,0,1,0,0,0
T12,LiCl 4 min,0,0,0,0,2,2,0,0,1,2,0
T2,LiCl 4 min,0,0,0,0,0,2,2,0,5,0,0
T3,LiCl 4 min,0,0,0,0,0,6,1,3,1,0,3
T4,LiCl 4 min,0,0,0,0,0,7,1,1,4,0,0
T5,LiCl 4 min,0,1,0,0,1,9,0,0,0,0,0
T6,LiCl 4 min,1,0,0,0,0,3,1,1,5,0,0
T7,LiCl 4 min,0,0,0,0,2,7,1,0,0,0,0
T8,LiCl 4 min,0,0,0,0,0,6,8,0,3,0,0
T9,LiCl 4 min,0,0,0,0,0,0,1,1,4,3,1
W1,LiCl 4 min,0,0,0,0,0,13,0,1,2,0,0
W10,LiCl 4 min,0,0,1,1,0,6,0,0,0,0,0
W11,LiCl 4 min,0,0,0,0,0,19,0,0,0,0,0
W12,LiCl 4 min,0,0,0,0,0,0,3,7,0,1,0
W2,LiCl 4 min,0,0,0,0,0,5,4,4,0,0,0
W3,LiCl 4 min,0,0,0,0,0,1,0,2,6,1,0
W4,LiCl 4 min,0,0,0,0,0,14,1,2,8,0,0
W5,LiCl 4 min,0,0,0,0,0,5,3,1,2,0,0
W6,LiCl 4 min,0,0,0,0,0,9,1,1,1,0,0
W7,LiCl 4 min,0,0,0,0,1,1,2,4,2,7,0
W8,LiCl 4 min,0,0,0,0,0,3,5,0,9,5,0
W9,LiCl 4 min,0,0,0,0,0,23,0,0,0,0,0
T1,LiCl 8 min,0,0,0,0,0,0,0,0,4,8,2
T10,LiCl 8 min,0,0,0,0,0,0,0,1,3,2,3
T11,LiCl 8 min,0,0,0,0,0,1,0,3,3,6,1
T12,LiCl 8 min,0,0,0,4,0,0,3,0,5,0,1
T2,LiCl 8 min,0,0,0,0,0,2,0,1,2,1,1
T3,LiCl 8 min,0,0,0,0,0,0,0,0,1,6,6
T4,LiCl 8 min,0,0,0,0,0,0,0,0,0,0,0
T5,LiCl 8 min,0,0,0,0,2,12,0,0,0,0,0
T6,LiCl 8 min,0,0,0,0,0,0,2,3,0,0,10
T7,LiCl 8 min,0,0,0,1,2,5,2,0,0,0,0
T8,LiCl 8 min,0,0,0,0,0,6,2,3,10,0,0
T9,LiCl 8 min,0,0,0,0,0,0,0,0,0,5,4
W1,LiCl 8 min,0,0,0,0,0,0,0,9,3,1,0
W10,LiCl 8 min,0,0,0,0,0,0,2,3,4,6,0
W11,LiCl 8 min,0,0,0,0,0,24,2,2,1,0,0
W12,LiCl 8 min,0,0,0,0,0,0,1,10,3,0,0
W2,LiCl 8 min,0,0,0,0,0,1,0,3,3,1,0
W3,LiCl 8 min,0,0,0,0,0,0,0,1,9,4,0
W4,LiCl 8 min,0,0,0,0,0,3,1,11,2,0,1
W5,LiCl 8 min,0,0,0,0,0,0,1,4,6,0,0
W6,LiCl 8 min,0,0,0,0,0,0,1,5,26,9,0
W7,LiCl 8 min,0,0,0,0,0,1,0,6,10,3,0
W8,LiCl 8 min,0,0,0,0,0,1,1,0,4,4,0
W9,LiCl 8 min,0,0,0,0,0,1,1,8,0,0,0
T1,No LiCl,0,0,0,0,0,18,0,0,0,0,0
T10,No LiCl,0,0,0,1,0,13,0,0,0,0,0
T11,No LiCl,0,0,0,0,0,25,1,0,0,0,0
T12,No LiCl,0,0,0,0,0,11,0,0,0,0,0
T2,No LiCl,0,0,0,0,0,10,0,0,0,0,0
T3,No LiCl,0,0,0,0,0,8,0,0,0,0,0
T4,No LiCl,0,0,0,0,0,16,0,0,1,0,0
T5,No LiCl,0,0,0,0,0,6,0,0,0,0,0
T6,No LiCl,0,0,0,0,0,12,0,0,0,0,0
T7,No LiCl,0,0,0,0,0,10,0,0,0,0,0
T8,No LiCl,0,0,0,0,0,9,0,0,0,0,0
T9,No LiCl,0,0,0,0,0,8,0,0,0,0,0
W1,No LiCl,0,0,0,0,0,10,0,0,0,0,0
W10,No LiCl,0,0,0,0,0,10,0,0,0,0,0
W11,No LiCl,0,0,0,0,0,14,0,0,0,0,0
W12,No LiCl,0,0,0,0,0,10,0,0,1,0,0
W2,No LiCl,0,0,0,0,0,12,0,0,0,0,0
W3,No LiCl,0,0,0,0,0,20,0,0,0,0,0
W4,No LiCl,0,0,0,0,0,19,0,0,0,0,0
W5,No LiCl,0,0,0,0,0,9,0,0,0,0,0
W6,No LiCl,0,0,0,1,6,27,1,0,0,0,0
W7,No LiCl,0,0,0,0,0,18,0,0,0,0,0
W8,No LiCl,0,0,0,0,0,19,0,0,1,0,0
W9,No LiCl,0,0,0,0,0,15,0,0,0,0,0
T1,No UV,0,0,0,0,0,17,0,0,0,0,0
T10,No UV,0,0,0,0,0,12,0,0,0,0,0
T11,No UV,0,0,0,2,1,12,0,0,0,0,0
T12,No UV,0,1,0,2,3,1,0,0,0,0,0
T2,No UV,0,0,0,0,1,13,2,0,0,0,0
T3,No UV,0,0,0,0,0,21,1,0,0,0,0
T4,No Uv,0,1,0,1,5,7,1,0,0,0,0
T5,No UV,0,0,0,0,0,8,3,6,0,0,0
T6,No UV,0,0,0,0,5,9,1,0,0,0,0
T7,No UV,0,1,0,0,1,6,6,1,2,0,0
T8,No UV,0,0,0,8,1,1,0,0,0,0,0
T9,No UV,0,0,0,0,0,6,0,0,0,0,0
W1,No UV,0,0,0,0,0,11,0,0,0,0,0
W10,No UV,0,0,0,0,0,10,1,0,0,0,0
W11,No UV,0,0,0,0,0,24,0,0,0,0,0
W12,No UV,0,0,0,0,0,20,0,1,0,0,0
W2,No UV,1,0,2,0,4,8,0,0,0,0,0
W3,No UV,0,0,0,0,0,20,0,0,0,0,0
W4,No UV,0,0,0,1,3,50,0,0,0,0,0
W5,No UV,0,0,0,0,0,9,0,0,0,0,0
W6,No UV,0,0,0,1,4,22,3,2,0,0,0
W7,No UV,0,0,0,0,11,1,0,0,0,0,0
W8,No UV,0,0,0,0,12,34,4,0,0,0,0
W9,No UV,0,0,0,0,2,19,1,0,0,0,0
T1,UV 2 min,1,0,2,3,4,13,0,0,0,0,0
T10,UV 2 min,1,1,1,2,5,0,0,0,0,0,0
T11,UV 2 min,2,0,2,3,3,8,0,0,0,0,0
T12,UV 2 min,5,5,2,2,4,0,0,0,0,0,0
T2,UV 2 min,1,1,3,2,3,2,0,0,0,0,0
T3,UV 2 min,2,0,2,0,2,4,3,1,0,0,0
T4,UV 2 min,4,4,4,2,0,9,2,0,0,0,0
T5,UV 2 min,1,5,0,5,2,0,2,0,0,0,0
T6,UV 2 min,1,0,1,6,12,0,1,0,0,0,0
T7,UV 2 min,0,1,1,0,0,3,0,0,0,0,0
T8,UV 2 min,0,0,25,8,11,0,0,0,0,0,0
T9,UV 2 min,0,0,1,1,1,1,0,0,0,0,0
T1,UV 5 min,0,0,0,0,0,5,2,2,1,0,0
T10,UV 5 min,1,0,1,0,1,8,0,0,0,0,0
T11,UV 5 min,0,0,1,1,5,6,0,0,0,0,0
T12,UV 5 min,10,1,2,4,0,0,0,0,0,0,0
T2,UV 5 min,0,0,1,3,1,1,1,1,0,0,0
T3,UV 5 min,17,5,3,1,1,0,1,0,0,0,0
T4,UV 5 min,0,0,2,0,2,11,1,2,2,0,0
T5,UV 5 min,3,7,4,0,0,3,0,2,1,0,0
T6,UV 5 min,0,2,2,0,12,0,0,0,0,0,0
T7,UV 5 min,0,0,0,0,1,2,1,0,0,0,0
T8,UV 5 min,7,11,4,0,1,0,0,1,0,3,0
T9,UV 5 min,1,1,1,1,0,0,0,0,0,0,0
W1,UV 2 min,0,0,0,1,0,11,0,0,0,0,0
W10,UV 2 min,0,0,0,0,0,10,1,0,0,1,0
W11,UV 2 min,0,0,13,3,22,0,0,0,0,0,0
W12,UV 2 min,0,0,0,3,1,23,0,0,0,0,0
W2,UV 2 min,0,0,0,1,6,9,0,0,0,0,0
W3,UV 2 min,0,0,0,5,7,3,6,0,0,0,0
W4,UV 2 min,0,1,8,18,25,10,0,0,0,0,0
W5,UV 2 min,0,0,0,0,7,3,0,0,0,0,0
W6,UV 2 min,0,2,6,18,21,10,0,0,0,0,0
W7,UV 2 min,0,0,0,0,2,12,0,0,0,0,0
W8,UV 2 min,0,2,11,8,15,21,0,0,0,0,0
W9,UV 2 min,0,0,0,10,8,2,0,0,0,0,0
W1,UV 5 min,1,3,3,1,1,1,0,0,0,0,0
W10,UV 5 min,0,4,8,0,0,0,0,0,0,0,0
W11,UV 5 min,0,4,14,7,5,0,0,0,0,0,0
W12,UV 5 min,0,9,9,6,1,0,0,0,0,0,0
W2,UV 5 min,0,4,8,1,1,1,0,0,0,0,0
W3,UV 5 min,0,6,5,8,7,4,0,0,0,0,0
